model,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
fold_1,0.9401919475655431,0.7552916872569975,0.8866995073891626,0.8756756756756757,0.8411214953271028,0.9375,0.8089887640449438
fold_2,0.9472144194756555,0.8166083882076919,0.91005291005291,0.9081081081081082,0.9247311827956989,0.8958333333333334,0.9213483146067416
fold_3,0.9459649122807018,0.7512862693753954,0.8783068783068783,0.8756756756756757,0.8829787234042553,0.8736842105263158,0.8777777777777778
fold_4,0.9681871345029239,0.8421256434300514,0.9171270718232044,0.918918918918919,0.9651162790697675,0.8736842105263158,0.9666666666666667
fold_5,0.920233918128655,0.7160642414930221,0.847457627118644,0.8540540540540541,0.9146341463414634,0.7894736842105263,0.9222222222222223
fold_6,0.9497076023391813,0.7856558340526761,0.8913043478260869,0.8918918918918919,0.9213483146067416,0.8631578947368421,0.9222222222222223
fold_7,0.8824561403508772,0.6605628207655752,0.8202247191011236,0.827027027027027,0.8795180722891566,0.7684210526315789,0.8888888888888888
fold_8,0.9540350877192982,0.8073008570310447,0.9021739130434783,0.9027027027027027,0.9325842696629213,0.8736842105263158,0.9333333333333333
fold_9,0.9501754385964913,0.783625730994152,0.8947368421052632,0.8918918918918919,0.8947368421052632,0.8947368421052632,0.8888888888888888
fold_10,0.9542690058479532,0.7860820268156757,0.898989898989899,0.8918918918918919,0.8640776699029126,0.9368421052631579,0.8444444444444444
DGUDILI_2026,0.941243560680728,0.7704603499422282,0.884707371575665,0.8837837837837839,0.9020846995505283,0.870701754385965,0.897478152309613
DGUDILI_2026_std,0.022731198990420903,0.04990509262563502,0.028172868457487177,0.025725414128196313,0.034690014482860375,0.05214285149607949,0.043641229152317204
