model,AUC,MCC,F1,ACC,Precision,Sensitivity,Specificity
fold_1,0.9288690476190476,0.7138430876470772,0.8666666666666667,0.8536585365853658,0.8125,0.9285714285714286,0.775
fold_2,0.9407738095238095,0.7098505044517102,0.8636363636363636,0.8536585365853658,0.8260869565217391,0.9047619047619048,0.8
fold_3,0.8785714285714287,0.6342500163786934,0.8255813953488372,0.8170731707317073,0.8068181818181818,0.8452380952380952,0.7875
fold_4,0.9197916666666667,0.7681429635046211,0.8875739644970414,0.8841463414634146,0.8823529411764706,0.8928571428571429,0.875
fold_5,0.9138392857142857,0.7095623923610997,0.8518518518518519,0.8536585365853658,0.8846153846153846,0.8214285714285714,0.8875
fold_6,0.9236607142857143,0.7075275528876865,0.8554216867469879,0.8536585365853658,0.8658536585365854,0.8452380952380952,0.8625
fold_7,0.9483630952380953,0.7925568096315121,0.8994082840236687,0.8963414634146342,0.8941176470588236,0.9047619047619048,0.8875
fold_8,0.9250334672021419,0.7578791733781781,0.8837209302325582,0.8780487804878049,0.8539325842696629,0.9156626506024096,0.8395061728395061
fold_9,0.8896326044920423,0.6539082542182594,0.8379888268156425,0.823170731707317,0.78125,0.9036144578313253,0.7407407407407407
fold_10,0.8805722891566264,0.583007640027329,0.8,0.7914110429447853,0.7816091954022989,0.8192771084337349,0.7625
DGUDILI_2026,0.914910740846986,0.7030528394486166,0.8571849969819618,0.8504825677091127,0.8389136549399145,0.8781411359724614,0.8217746913580246
DGUDILI_2026_std,0.023076946937068226,0.060859276605456855,0.028654719376515446,0.030640007194920778,0.040590214831123635,0.03883345080357872,0.052308962581003926
